Name,Importance
nPeaksTotalFound,0.12000708396430734
osAlpha_Power,0.061701902001718614
clAlpha_Power_db,0.05363862518922221
Slope,0.048022906033529635
PermEntropy,0.04547628103016636
Coh_Intra,0.043120370262322426
error,0.04091905203969628
clTheta_Power_db,0.036645979002949414
clBeta_Power_db,0.036454079533991594
osAlpha_Prev,0.03631762140075688
num_zerocross,0.0363058834563148
wPLI_Inter,0.03543252666688551
wPLI_Intra,0.034922109341806506
osAlpha_BW,0.034210452269274945
Coh_Inter,0.03415174125524408
h_complexity,0.031196199131951145
clDelta_Power_db,0.031193875185989275
Offset,0.030545537127381492
MI_Inter,0.02966689272073869
LZc,0.028752314111373505
DispEntropy,0.02810798855391787
osAlpha_freq,0.028081620017311782
Total_Power_db,0.026850602571216128
DFA,0.026582294421751872
MI_Intra,0.023931708042659976
Higuchi_FD,0.01776435466752167
