Name,Coef
MI_Inter,0.3041988464210699
Age,0.24351772194930377
osAlpha_freq,0.20618885829146452
LZc,0.1871119869670617
DispEntropy,0.14842643066518874
Offset,0.13660999551344363
h_complexity,0.11369533408304415
DFA,0.11314263152534124
Coh_Intra,0.09101598615775204
wPLI_Inter,0.06410171027145393
Slope,0.05743258072357076
wPLI_Intra,0.04660672604396197
error,0.004695865617417132
osAlpha_BW,0.0
Total_Power_db,0.0
clAlpha_Power_db,0.0
clTheta_Power_db,-0.014522147112639452
Coh_Inter,-0.03653172126673406
num_zerocross,-0.042731433855573306
osAlpha_Power,-0.05521259577540337
bmi,-0.0803723046542689
clDelta_Power_db,-0.08652739630116814
osAlpha_Prev,-0.09366700018087702
clBeta_Power_db,-0.09489394760417667
Higuchi_FD,-0.1061742353093104
MI_Intra,-0.10782204432126415
PermEntropy,-0.14848540811610564
nPeaksTotalFound,-0.3164892939226047
SexF,-0.3294600939762147
education,-0.3912898429163911
